Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,City,Gender,Country,Clicked on Ad
33.33,45,53350.11,193.58,East Samanthashire,Male,Guinea-Bissau,1
50.33,50,62657.53,133.2,South Lauraton,Male,Micronesia,1
62.31,47,62722.57,119.3,Amandahaven,Female,Turkey,1
80.6,31,67479.62,177.55,Thomasview,Female,Croatia,0
65.19,36,75254.88,150.61,Garciaside,Female,Israel,1
44.98,49,52336.64,129.31,Port Sarahshire,Female,Svalbard & Jan Mayen Islands,1
77.63,29,56113.37,239.22,Port Gregory,Female,Azerbaijan,0
41.82,41,24852.9,156.36,Brendachester,Female,Iran,1
85.61,27,47708.42,183.43,Lake Amy,Female,Burundi,0
85.84,34,64654.66,192.93,Lake Annashire,Male,Saint Vincent and the Grenadines,0
72.08,29,71228.44,169.5,Smithburgh,Female,Burundi,0
86.06,32,61601.05,178.92,North Leonmouth,Male,Bulgaria,0
45.96,45,66281.46,141.22,,Female,Christmas Island,1
62.42,29,73910.9,198.5,Jasminefort,Male,Canada,0
63.89,40,51317.33,105.22,Jensenborough,Female,Rwanda,1
35.33,32,51510.18,200.22,Bradleyburgh,Female,Turks and Caicos Islands,1
75.74,25,61005.87,215.25,New Sheila,Male,Tunisia,0
78.53,34,32536.98,131.72,North Regina,Female,Norfolk Island,1
46.13,31,60248.97,139.01,Davidmouth,Female,Bouvet Island (Bouvetoya),1
69.01,46,,222.63,New Michaeltown,Female,Turks and Caicos Islands,0
55.35,39,75509.61,153.17,East Tammie,Male,Cook Islands,1
33.21,43,42650.32,167.07,Wilcoxport,Male,Turkey,1
38.46,42,58183.04,145.98,,Male,Guatemala,1
64.1,22,60465.72,215.93,East Tiffanyport,Female,Cote d'Ivoire,0
49.81,35,57009.76,120.06,Ramirezhaven,Male,Faroe Islands,1
82.73,33,54541.56,238.99,Cranemouth,Male,Qatar,0
56.14,38,32689.04,113.53,Lake Edward,Male,Ireland,1
55.13,45,55605.92,111.71,Lake Conniefurt,Female,Ukraine,1
78.11,27,63296.87,209.25,East Shawnchester,Male,Moldova,0
73.46,28,65653.47,222.75,West Joseph,Male,Nicaragua,0
56.64,38,61652.53,115.91,Lake Christopherfurt,Female,Montserrat,1
68.94,54,30726.26,138.71,East Tylershire,Female,Timor-Leste,1
70.79,31,74535.94,184.1,,Female,Bouvet Island (Bouvetoya),0
57.76,41,47861.93,105.15,Lake Dustin,Female,Puerto Rico,1
77.51,36,73600.28,200.55,North Kristine,Female,Central African Republic,0
52.7,34,58543.94,118.6,Grahamberg,Male,Venezuela,1
57.7,34,42696.67,109.07,New Tina,Female,Australia,1
56.89,37,37334.78,109.29,Nelsonfurt,Male,Wallis and Futuna,1
69.9,43,71392.53,138.35,Christopherport,Female,Jersey,1
55.79,24,59550.05,149.67,Port Sarahhaven,Female,Puerto Rico,1
70.03,26,64264.25,227.72,Bradleyborough,Male,Samoa,0
50.08,40,64147.86,125.85,Whiteport,Male,Greece,1
43.67,31,25686.34,166.29,New Theresa,Male,Antarctica (the territory South of 60 deg S),1
72.84,26,52968.22,238.63,Wongland,Female,Albania,0
45.72,36,22473.08,154.02,Williammouth,Male,Hong Kong,1
39.94,41,64927.19,156.3,Williamsborough,Female,Lithuania,1
35.61,46,51868.85,158.22,North Michael,Female,Egypt,1
79.71,34,69456.83,211.65,Benjaminchester,Male,Bangladesh,0
41.49,53,31947.65,169.18,Hernandezville,Female,Western Sahara,1
63.6,23,51864.77,235.28,Youngburgh,Male,Serbia,0
89.91,40,59593.56,194.23,Wallacechester,Female,Maldives,0
68.18,21,48376.14,218.17,Sanchezmouth,Male,Czech Republic,0
66.49,20,56884.74,202.16,Bradshawborough,Female,Guernsey,0
80.49,40,67186.54,229.12,Amyhaven,Male,Tanzania,0
72.23,25,46557.92,241.03,Marcushaven,Male,Bhutan,0
42.39,42,66541.05,150.99,Erinton,Female,Christmas Island,1
47.53,30,33258.09,135.18,,Female,Guinea,1
74.02,32,72272.9,210.54,Johnstad,Female,Micronesia,0
66.63,60,60333.38,176.98,New Lucasburgh,Female,Madagascar,1
63.24,53,65229.13,235.78,Michelleside,Male,Lebanon,1
71,22,56067.38,211.87,Andersonton,Female,Eritrea,0
46.13,46,37838.72,123.64,New Rachel,Male,Guyana,1
69,32,72683.35,221.21,Port Susan,Male,Trinidad and Tobago,0
76.99,31,56729.78,244.34,West Angelabury,Male,Jersey,0
72.6,55,66815.54,162.95,Port Christopherborough,Female,United Arab Emirates,1
61.88,42,60223.52,112.19,Phillipsbury,Male,Martinique,1
84.45,50,29727.79,207.18,Millerside,Female,Somalia,1
88.97,45,49269.98,152.49,Lake Jessica,Female,Bhutan,1
86.19,31,57669.41,210.26,Lopezmouth,Male,Greece,0
49.58,26,56791.75,231.94,Johnsport,Female,Benin,0
77.65,27,63274.88,212.79,,Female,Papua New Guinea,0
37.75,36,35466.8,225.24,South Daniel,Female,Uzbekistan,1
62.33,43,68787.09,127.11,Suzannetown,Female,South Africa,1
79.57,31,61227.59,230.93,Lisaberg,Female,Egypt,0
80.31,44,56366.88,127.07,Brianfurt,Female,Hungary,1
89.05,45,57868.44,206.98,Stewartbury,Female,Falkland Islands (Malvinas),0
70.41,27,66618.21,223.03,Benjaminchester,Female,Dominica,0
67.36,37,73104.47,233.56,North Wesleychester,Female,Jersey,0
46.98,50,21644.91,175.37,East Michelleberg,Female,Lithuania,1
41.67,36,53817.02,132.55,Port Eric,Female,Saint Martin,1
51.24,36,76368.31,176.73,Timothyfurt,Female,Cuba,1
75.7,29,67633.44,215.44,Port Jeffrey,Female,United States Minor Outlying Islands,0
43.49,47,50335.46,127.83,Guzmanland,Female,Belize,1
49.89,39,17709.98,160.03,East Michele,Male,Belize,1
38.37,36,41229.16,140.46,East John,Female,Antarctica (the territory South of 60 deg S),1
38.52,38,42581.23,137.28,Lesliebury,Male,Saint Vincent and the Grenadines,1
71.89,23,61617.98,172.81,Patriciahaven,Male,Kuwait,0
75.8,38,70575.6,146.19,Ashleychester,Male,Thailand,0
83.86,31,64122.36,190.25,Lake Josetown,Female,Gibraltar,0
37.51,30,52097.32,163,Debraburgh,Male,Holy See (Vatican City State),1
55.6,44,65953.76,124.38,New Debbiestad,Male,Korea,1
83.67,44,60192.72,234.26,West Shaun,Male,Saint Helena,0
69.08,41,77460.07,210.6,Kimberlyhaven,Female,Turks and Caicos Islands,0
37.47,44,45716.48,141.89,Port Lawrence,Male,Czech Republic,1
56.04,49,65120.86,128.95,West Ricardo,Male,Netherlands,1
70.92,41,49995.63,108.16,Lake Jose,Male,Belarus,1
49.78,46,71718.51,152.24,Heatherberg,Female,Dominica,1
68.61,57,61770.34,150.29,South George,Female,South Africa,1
58.18,25,69112.84,176.28,Tinachester,Male,New Zealand,0
78.54,35,72524.86,172.1,Port Jodi,Female,Togo,0
37,48,36782.38,158.22,Jonathantown,Male,Kenya,1
65.4,33,66699.12,247.31,Sylviaview,Female,Palau,0
79.52,27,64287.78,183.48,East Timothyport,Male,Timor-Leste,0
87.98,38,56637.59,222.11,West Roytown,Male,,0
44.64,36,55787.58,127.01,Codyburgh,Female,Belize,1
41.73,28,61142.33,202.18,Port Erikhaven,Male,Cuba,1
80.46,27,61625.87,207.96,Port Chasemouth,Male,Costa Rica,0
75.55,36,73234.87,159.24,Ramirezside,Female,Liechtenstein,1
76.32,35,74166.24,195.31,East Michaeltown,Male,Korea,0
82.68,33,62669.59,222.77,West Courtney,Male,Ukraine,0
72.01,31,57756.89,251,West Michaelhaven,Female,,0
75.83,24,58019.64,162.44,Walshhaven,Female,Nauru,0
41.28,50,50960.08,140.39,East Rachelview,Female,Equatorial Guinea,1
34.66,32,48246.6,194.83,Curtisport,Female,Mongolia,1
66.18,55,28271.84,143.42,Frankbury,Female,Svalbard & Jan Mayen Islands,1
86.06,31,53767.12,219.72,Timothytown,Male,Timor-Leste,0
59.59,42,43662.1,104.78,Samanthaland,Male,Brazil,1
86.69,34,62238.58,198.56,South Jennifer,Female,Chad,0
43.77,52,49030.03,138.55,Kyleborough,Male,Portugal,1
71.84,47,76003.47,199.79,North Randy,Male,Malawi,0
80.23,31,68094.85,196.23,South Daniellefort,Female,Qatar,0
74.41,26,64395.85,163.05,Dianashire,Female,Singapore,0
63.36,48,70053.27,137.43,East Eric,Female,Guinea,1
71.74,35,72423.97,227.56,Hammondport,Female,Kazakhstan,0
60.72,44,42995.8,105.69,Jacobstad,Female,Kuwait,1
72.04,22,60309.58,199.43,Hernandezfort,Female,Rwanda,0
44.57,31,38349.78,133.17,Joneston,Male,China,1
85.86,34,63115.34,208.23,New Jeffreychester,Female,Bouvet Island (Bouvetoya),0
39.85,38,31343.39,145.96,East Stephen,Female,Vietnam,1
84.53,27,40763.13,168.34,Turnerchester,Female,Guatemala,1
62.95,60,36752.24,157.04,Youngfort,Female,Peru,1
67.58,41,65044.59,255.61,Ingramberg,Male,Mayotte,0
85.56,29,53673.08,210.46,South Denisefurt,Female,Samoa,0
46.88,54,43444.86,136.64,Port Melissaberg,Female,Singapore,1
46.31,57,44248.52,153.98,Bernardton,Male,Jamaica,1
77.95,31,62572.88,233.65,Port Mathew,Male,Bahamas,0
84.73,30,39840.55,153.76,Aliciatown,Female,Canada,1
39.86,36,32593.59,145.85,Josephstad,Female,Algeria,1
50.08,30,41629.86,123.91,West Ericfurt,Female,Fiji,1
60.23,35,43313.73,106.86,New Brendafurt,Female,Kenya,1
60.7,49,42993.48,110.57,Port Julie,Male,Argentina,1
43.67,53,46004.31,143.79,South Tiffanyton,Male,Bouvet Island (Bouvetoya),1
77.2,33,49325.48,254.05,North Elizabeth,Male,Philippines,0
71.86,32,51633.34,116.53,Kentmouth,Female,Senegal,1
44.78,45,63363.04,137.24,West Casey,Male,Suriname,1
78.57,36,64045.93,239.32,East Henry,Male,Liberia,0
73.41,31,73049.3,201.26,Hollyfurt,Male,Guam,0
77.05,27,66624.6,191.14,North Anna,Female,United Arab Emirates,0
84.53,27,40763.13,168.34, ,Female,Guatemala,1
66.4,40,77567.85,214.42,Port Destiny,Female,Antigua and Barbuda,0
69.35,29,53431.35,252.77,Ianmouth,Male,Argentina,0
35.65,40,31265.75,172.58,North Johntown,Male,Georgia,1
70.04,31,74780.74,183.85,Hannahside,Male,Jordan,0
69.78,29,70410.11,218.79,Wilsonburgh,Female,Saudi Arabia,0
58.22,29,37345.24,120.9,North Russellborough,Female,South Africa,1
76.9,28,66107.84,212.67,Murphymouth,Female,Croatia,0
84.08,30,62336.39,187.36,Carterburgh,Male,Fiji,0
59.51,58,39132.64,140.83,Penatown,Female,Australia,1
40.15,38,38745.29,134.88,Joechester,Male,Sao Tome and Principe,1
76.81,28,65172.22,217.85,East Paul,Male,Fiji,0
41.89,38,68519.96,163.38,Hartmanchester,Female,Cyprus,1
76.87,27,54774.77,235.35,Mcdonaldfort,Male,Kyrgyz Republic,0
67.28,43,76246.96,155.8,North Mercedes,Male,Pakistan,1
81.98,40,65461.92,229.22,Taylorberg,Female,Seychelles,0
66.01,23,34127.21,151.95,Hansenmouth,Female,Samoa,1
61.57,53,35253.98,125.94,Bradyfurt,Male,Bulgaria,1
53.3,34,44893.71,111.94,West Jessicahaven,Female,Mauritania,1
34.87,40,59621.02,200.23,Davilachester,Female,Czech Republic,1
43.6,38,20856.54,170.49,North Ricardotown,Female,Chile,1
77.88,37,55353.41,254.57,Melissafurt,Female,Poland,0
75.83,27,67516.07,200.59,East Brianberg,Female,Estonia,0
49.95,39,68737.75,136.59,Millerbury,Female,Turkmenistan,1
60.94,41,76893.84,154.97,Garciaview,Female,Latvia,1
89.15,42,59886.58,171.07,Townsendfurt,Female,Fiji,0
78.7,30,53441.69,133.99,Williamstad,Female,Turkey,1
57.35,29,41356.31,119.84,West Connor,Female,Kazakhstan,1
34.86,38,49942.66,154.75,West Justin,Female,,1
70.68,31,74430.08,199.08,Robertbury,Female,Colombia,0
76.06,23,58633.63,201.04,New Tinamouth,Female,Brunei Darussalam,0
66.67,33,72707.87,228.03,Turnerview,Male,Taiwan,0
46.77,32,31092.93,136.4,Reneechester,Male,Serbia,1
62.42,38,74445.18,143.94,West Tinashire,Female,Saint Pierre and Miquelon,1
78.32,28,49309.14,239.52,Jamesfurt,Female,Australia,1
37.32,50,56735.14,199.25,New Nancy,Male,Chad,1
40.42,45,40183.75,133.9,Lisamouth,Male,Norway,1
76.77,36,58348.41,123.51,Harveyport,Female,Turks and Caicos Islands,1
65.65,30,72209.99,158.05,Ramosstad,Female,Finland,0
74.32,33,62060.11,128.17,North Kevinside,Female,South Africa,1
73.27,32,67113.46,234.75,Haleview,Male,Martinique,0
80.03,44,24030.06,150.84,Christinetown,Female,Afghanistan,1
53.68,47,56180.93,115.26,New Michael,Male,Micronesia,1
85.84,32,62204.93,192.85,Jonesland,Male,French Southern Territories,0
85.03,30,60372.64,204.52,North Shannon,Female,Philippines,0
70.44,24,65280.16,178.75,New Sonialand,Male,Algeria,0
81.22,53,34309.24,223.09,Port Jason,Male,San Marino,0
39.96,45,59610.81,146.13,East Barbara,Male,Guernsey,1
57.05,41,50278.89,269.96,Port Erinberg,Male,Sierra Leone,1
42.44,56,43450.11,168.27,Petersonfurt,Female,Tajikistan,1
62.2,25,25408.21,161.16,New Lindaberg,Female,Liechtenstein,1
76.7,36,71136.49,222.25,West Russell,Female,Ecuador,0
61.22,45,63883.81,119.03,South Adam,Male,Switzerland,1
84.54,33,64902.47,204.02,North Tracyport,Male,Moldova,0
75.03,34,,,East Mike,Female,Uruguay,1
46.08,30,66784.81,164.63,Brownport,Male,Finland,1
56.7,48,62784.85,123.13,Port Crystal,Female,France,1
81.03,28,63727.5,201.15,Masonhaven,Female,Venezuela,0
80.91,32,61608.23,231.42,Derrickhaven,Female,Cuba,0
40.06,38,56782.18,138.68,Olsonstad,Male,Peru,1
83.47,39,64447.77,226.11,New Brandy,Female,Turkey,0
73.84,31,42042.95,121.05,South Jasminebury,Female,Albania,1
74.65,28,67669.06,212.56,East Timothy,Female,French Southern Territories,0
60.25,35,54875.95,109.77,Charlottefort,Female,Papua New Guinea,1
59.21,35,73347.67,144.62,Lake Beckyburgh,Male,Liechtenstein,1
43.02,44,50199.77,125.22,West Lindseybury,Female,Thailand,1
84.04,38,50723.67,244.55,West Alyssa,Female,Malaysia,0
70.66,43,63450.96,120.95,Lake Craigview,Male,Mauritius,1
70.58,26,56694.12,136.94,Lake David,Female,Algeria,1
72.44,34,70547.16,230.14,Bruceburgh,Female,Christmas Island,0
40.17,26,47391.95,171.31,South Lauratown,Male,Japan,1
79.15,26,62312.23,203.23,Port Robin,Female,Greenland,0
44.49,53,63100.13,168,Jacksonburgh,Male,Sao Tome and Principe,1
73.04,37,73687.5,221.79,Erinmouth,Male,Senegal,0
76.28,33,52686.47,254.34,Port Aliciabury,Female,Guadeloupe,0
68.88,37,78119.5,179.58,Port Whitneyhaven,Female,Belgium,0
73.1,28,57014.84,242.37,Jeffreyshire,Female,Israel,0
47.66,29,27086.4,156.54,Tinaton,Female,Honduras,1
87.3,35,58337.18,216.87,North Loriburgh,Female,Estonia,0
89.34,32,50216.01,177.78,Wendyton,Male,Paraguay,0
81.37,26,53049.44,156.48,Lake Jacqueline,Male,,0
81.67,28,62927.96,196.76,North Christopher,Male,Mauritania,0
46.37,52,32847.53,144.27,Alexanderfurt,Female,French Guiana,1
54.88,24,32006.82,148.61,West Pamela,Female,Northern Mariana Islands,1
40.67,35,48913.07,133.18,West Amanda,Female,,1
71.76,35,69285.69,237.39,South Tomside,Female,Saint Pierre and Miquelon,0
47.51,51,53700.57,130.41,Bethburgh,Male,American Samoa,1
75.15,22,52011,212.87,Jamiefort,Male,Austria,0
56.01,26,46339.25,127.26,Garciamouth,Female,Tonga,1
82.87,37,67938.77,213.36,West Brenda,Female,Tonga,0
45.05,42,66348.95,141.36,South Kyle,Female,French Southern Territories,1
60.53,24,66873.9,167.22,Combsstad,Female,Serbia,1
50.52,31,72270.88,171.62,Lake Allenville,Female,New Caledonia,1
84.71,32,61610.05,210.23,Greenechester,Female,Taiwan,0
55.2,39,76560.59,159.46,Jordantown,Male,United States of America,1
81.61,33,62667.51,228.76,Gravesport,Female,Morocco,0
71.55,36,75687.46,163.99,South Troy,Male,Suriname,0
82.4,36,66744.65,218.97,Lake Patrick,Male,Macedonia,0
73.95,35,67714.82,238.58,Millerland,Female,Wallis and Futuna,0
72.07,31,69710.51,226.45,Port Jessicamouth,Female,Chile,0
80.39,31,66269.49,214.74,Paulport,Female,Gabon,0
65.8,25,60843.32,231.49,Clineshire,Male,Gabon,0
69.97,28,55041.6,250,Cynthiaside,Female,Holy See (Vatican City State),0
52.62,50,73863.25,176.52,Port Juan,Female,Seychelles,1
39.25,39,62378.05,152.36,Michellefort,Female,Mayotte,1
77.56,38,63336.85,130.83,Port Angelamouth,Male,Uganda,1
33.52,43,42191.61,165.56,Jessicahaven,Female,Cambodia,1
79.81,24,56194.56,178.85,North Daniel,Male,Antigua and Barbuda,1
84.79,33,61771.9,214.53,New Juan,Female,Cameroon,0
82.7,35,61383.79,231.07,Amyfurt,Female,Somalia,0
84.88,32,63924.82,186.48,Harrishaven,Female,Lebanon,0
54.92,54,23975.35,161.16,Roberttown,Female,Saint Pierre and Miquelon,1
76.56,34,70179.11,221.53,Jeremyshire,Male,Dominica,0
69.74,49,66524.8,243.37,Birdshire,Female,Hungary,0
75.55,22,41851.38,169.4,New Amanda,Female,Taiwan,1
72.19,33,61275.18,250.35,Curtisview,Male,Saint Lucia,0
84.29,41,60638.38,232.54,Jacksonmouth,Female,Niue,0
73.89,39,47160.53,110.68,North April,Female,France,1
75.84,21,48537.18,186.98,Hayesmouth,Female,Cyprus,0
73.38,25,53058.91,236.19,South Corey,Male,French Southern Territories,0
80.72,31,68614.98,186.37,Juliaport,Female,Costa Rica,0
62.06,44,44174.25,105,Port Paultown,Female,Austria,1
51.5,34,67050.16,135.31,East Vincentstad,Female,Zambia,1
90.97,37,54520.14,180.77,Kimberlytown,Female,Congo,0
86.78,30,54952.42,170.13,New Steve,Male,United States of America,0
66.18,35,69476.42,243.61,New Johnberg,Female,Pitcairn Islands,0
84.33,41,54989.93,240.95,Shawstad,Female,Belize,0
36.87,36,29398.61,195.91,New Rebecca,Female,Anguilla,1
34.78,48,42861.42,208.21,Jeffreyburgh,Male,South Africa,1
76.84,32,65883.39,231.59,Faithview,Female,Singapore,0
67.05,25,65421.39,220.92,Richardsontown,Female,Finland,0
41.47,31,60953.93,219.79,Port Brookeland,Female,Martinique,1
80.71,26,58476.57,200.58,East Christopherbury,Female,Cameroon,0
80.09,31,66636.84,214.08,Port Christinemouth,Female,Sweden,0
56.3,49,67430.96,135.24,South Meghan,Male,New Caledonia,1
79.36,34,57260.41,245.78,Hessstad,Male,Bosnia and Herzegovina,0
86.38,40,66359.32,188.27,Rhondaborough,Male,Singapore,0
38.94,41,57587,142.67,Lewismouth,Male,Falkland Islands (Malvinas),1
87.26,35,63060.55,184.03,New Paul,Female,Bosnia and Herzegovina,0
75.32,28,59998.5,233.6,Lake Angela,Male,Mauritius,0
74.38,,74024.61,220.05,East Graceland,Male,Indonesia,0
65.9,22,60550.66,211.39,Hartport,Female,Czech Republic,0
36.31,47,57983.3,168.92,East Yvonnechester,Female,Eritrea,1
72.23,48,52736.33,115.35,Burgessside,Female,Mexico,1
88.12,38,46653.75,230.91,Hurleyborough,Female,Gibraltar,0
83.97,28,56986.73,205.5,Garychester,Male,Haiti,0
61.09,26,55336.18,131.68,East Kevinbury,Male,Falkland Islands (Malvinas),1
65.77,21,42162.9,218.61,Contrerasshire,Male,Eritrea,0
81.58,25,39699.13,199.39,Erikville,Female,Hong Kong,0
37.87,,56394.82,188.56,Robertsonburgh,Male,Gambia,1
76.2,37,75044.35,178.51,Karenton,Female,Barbados,0
60.91,19,53309.61,184.94,Port Kathleenfort,Female,Nauru,1
74.49,28,58996.12,237.34,Lake Adrian,Female,Peru,0
73.71,23,56605.12,211.38,New Sheila,Male,El Salvador,0
78.19,30,62475.99,228.81,Mollyport,Female,Libyan Arab Jamahiriya,0
79.54,44,70492.6,217.68,Sandraland,Male,Cambodia,0
74.87,52,43698.53,126.97,Charlenetown,Female,Saint Barthelemy,1
87.09,36,57737.51,221.98,Luischester,Male,Reunion,0
37.45,,31281.01,167.86,South Johnnymouth,Female,Antigua and Barbuda,1
49.84,39,45800.48,111.59,Hannaport,Female,Samoa,1
51.38,59,42362.49,158.56,East Anthony,Female,Afghanistan,1
83.4,34,66691.23,207.87,West Daleborough,Female,Azerbaijan,0
38.91,33,56369.74,150.8,Morrismouth,Male,Philippines,1
62.14,41,59397.89,110.93,North Andrewstad,Male,Angola,1
79.72,28,66025.11,193.8,Wrightburgh,Male,Albania,0
73.3,36,68211.35,135.72,West Tanya,Male,Hungary,1
69.11,42,73608.99,231.48,Novaktown,Male,Faroe Islands,0
71.9,54,61228.96,140.15,Timothymouth,Male,Czech Republic,1
72.45,29,72325.91,195.36,Robertmouth,Male,Svalbard & Jan Mayen Islands,0
77.07,40,44559.43,261.02,Stephenborough,Female,Afghanistan,0
74.62,36,73207.15,217.79,Lake Kurtmouth,Female,Rwanda,0
82.07,25,46722.07,205.38,Lauraburgh,Male,Panama,0
58.6,50,45400.5,113.7,Rogerburgh,Female,Samoa,1
36.08,45,41417.27,151.47,Davidside,Male,United States Minor Outlying Islands,1
79.44,26,60845.55,206.79,West Thomas,Female,Greece,0
41.73,47,60812.77,144.71,Andersonchester,Female,Cote d'Ivoire,1
73.19,25,64267.88,203.74,North Ronaldshire,Male,,0
80.49,40,67186.54,229.12,Amyhaven,Male,,0
77.6,24,58151.87,197.33,Greghaven,Male,Anguilla,0
89,37,52079.18,222.26,Jordanmouth,Male,Cyprus,0
69.2,42,26023.99,123.8,Meyersstad,Female,Peru,1
67.56,31,62318.38,125.45,Michelleside,Female,Kenya,1
81.11,39,56216.57,248.19,South Robert,Male,Chad,0
80.22,30,61806.31,224.58,New Tyler,Female,Kyrgyz Republic,0
43.63,41,51662.24,123.25,Jordanshire,Male,Albania,1
77.66,29,67080.94,168.15,Reyesland,Female,Gabon,0
74.63,26,51975.41,235.99,New Traceystad,Male,Dominican Republic,0
49.67,27,28019.09,153.69,Port Brian,Female,Zimbabwe,1
80.59,37,67744.56,224.23,Lake Courtney,Female,Croatia,0
83.49,33,66574,190.75,Samuelborough,Male,Cambodia,0
44.46,42,30487.48,132.66,Christinehaven,Male,Mongolia,1
68.1,40,74903.41,227.73,Thomasstad,Male,Honduras,0
63.88,38,19991.72,136.85,Kristintown,Female,Madagascar,1
78.83,36,66050.63,234.64,New Wanda,Male,Qatar,0
79.97,44,70449.04,216,Mariebury,Female,China,0
80.51,28,64008.55,200.28,Christopherville,Male,Bangladesh,0
62.26,26,70203.74,202.77,New Jasmine,Female,Swaziland,0
66.99,47,27262.51,124.44,Lopezberg,Male,Tanzania,1
71.05,20,49544.41,204.22,Jenniferstad,Male,Eritrea,0
42.05,51,28357.27,174.55,West Eduardotown,Male,Canada,1
50.52,28,66929.03,219.69,Davisfurt,Female,Saint Kitts and Nevis,1
76.24,40,75524.78,198.32,Bakerhaven,Male,Burkina Faso,0
77.29,27,66265.34,201.24,Paulshire,Male,Tuvalu,0
35.98,47,55993.68,165.52,West Jane,Male,El Salvador,1
84.95,34,56379.3,230.36,Lake Brian,Female,Madagascar,0
39.34,43,31215.88,148.93,Alvaradoport,Female,Bangladesh,1
87.23,29,51015.11,202.12,Lake Kevin,Female,American Samoa,0
57.24,52,46473.14,117.35,Richardsonland,Male,Latvia,1
81.58,41,55479.62,248.16,East Sheriville,Female,Moldova,0
56.34,50,68713.7,139.02,Port Michealburgh,Male,Anguilla,1
48.73,27,34191.23,142.04,Monicaview,Female,Bangladesh,1
51.68,49,51067.54,258.62,Katieport,Female,Faroe Islands,1
35.34,45,46693.76,152.86,East Brittanyville,Female,Taiwan,1
48.09,33,19345.36,180.42,West Travismouth,Female,Heard Island and McDonald Islands,1
78.68,29,66225.72,208.05,Leonchester,Female,Israel,0
68.82,20,38609.2,205.64,Ramirezland,Male,Bolivia,0
56.99,40,37713.23,108.15,Brownton,Female,Bahamas,1
86.63,39,63764.28,209.64,New Jessicaport,Male,Costa Rica,0
41.18,43,41866.55,129.25,New Denisebury,Male,Myanmar,1
71.03,32,57846.68,120.85,Keithtown,Female,Netherlands Antilles,1
